Ref,Val,Package,PosX,PosY,Rot,Side
"D49","LL4148","D_MiniMELF",7.657480,-4.074803,90.000000,bottom
"D50","LL4148","D_MiniMELF",8.014173,-0.585039,90.000000,bottom
"D51","LL4148","D_MiniMELF",8.218504,-1.830709,90.000000,bottom
"D52","LL4148","D_MiniMELF",7.955000,-2.440000,90.000000,bottom
"D53","LL4148","D_MiniMELF",8.041339,-3.307087,90.000000,bottom
"D54","LL4148","D_MiniMELF",8.413878,-4.074803,90.000000,bottom
"D55","LL4148","D_MiniMELF",8.484252,-4.704724,180.000000,bottom
"D56","LL4148","D_MiniMELF",9.126378,-0.585039,90.000000,bottom
"D57","LL4148","D_MiniMELF",8.966535,-1.830709,90.000000,bottom
"D58","LL4148","D_MiniMELF",8.720000,-2.445000,90.000000,bottom
"D59","LL4148","D_MiniMELF",8.790846,-3.307087,90.000000,bottom
"D60","LL4148","D_MiniMELF",9.164862,-4.074803,90.000000,bottom
"D61","LL4148","D_MiniMELF",9.438976,-4.704724,180.000000,bottom
"D62","LL4148","D_MiniMELF",9.895000,-0.585000,90.000000,bottom
"D63","LL4148","D_MiniMELF",9.725886,-1.830709,90.000000,bottom
"D64","LL4148","D_MiniMELF",9.485000,-2.445000,90.000000,bottom
"D65","LL4148","D_MiniMELF",9.527559,-3.307087,90.000000,bottom
"D66","LL4148","D_MiniMELF",10.622441,-0.585039,90.000000,bottom
"D67","LL4148","D_MiniMELF",10.335000,-2.440000,90.000000,bottom
"D68","LL4148","D_MiniMELF",11.000000,-3.062992,180.000000,bottom
"D69","LL4148","D_MiniMELF",10.570866,-4.074803,90.000000,bottom
"D70","LL4148","D_MiniMELF",10.393701,-4.704724,180.000000,bottom
"D71","LL4148","D_MiniMELF",11.370472,-0.585039,90.000000,bottom
"D72","LL4148","D_MiniMELF",10.856299,-1.830709,90.000000,bottom
"D73","LL4148","D_MiniMELF",11.225000,-2.420000,180.000000,bottom
"D74","LL4148","D_MiniMELF",11.318898,-4.704724,180.000000,bottom
"D75","LL4148","D_MiniMELF",12.305512,-0.585039,90.000000,bottom
"D76","LL4148","D_MiniMELF",12.155512,-1.830709,90.000000,bottom
"D77","LL4148","D_MiniMELF",12.295000,-2.440000,90.000000,bottom
"D78","LL4148","D_MiniMELF",12.381890,-4.704724,180.000000,bottom
"D79","LL4148","D_MiniMELF",13.073228,-0.585039,90.000000,bottom
"D80","LL4148","D_MiniMELF",12.913386,-1.830709,90.000000,bottom
"D81","LL4148","D_MiniMELF",13.020000,-2.425000,90.000000,bottom
"D82","LL4148","D_MiniMELF",12.923228,-4.074803,90.000000,bottom
"D83","LL4148","D_MiniMELF",13.090551,-4.704724,180.000000,bottom
"D84","LL4148","D_MiniMELF",13.550000,-0.570000,90.000000,bottom
"D85","LL4148","D_MiniMELF",13.662894,-1.830709,90.000000,bottom
"D86","LL4148","D_MiniMELF",13.766161,-2.425000,90.000000,bottom
"D87","LL4148","D_MiniMELF",13.822835,-4.704724,180.000000,bottom
"D88","LL4148","D_MiniMELF",14.725000,-0.605000,90.000000,bottom
"D89","LL4148","D_MiniMELF",14.596457,-1.830709,90.000000,bottom
"D90","LL4148","D_MiniMELF",14.596457,-2.568898,90.000000,bottom
"D91","LL4148","D_MiniMELF",14.596457,-3.307087,90.000000,bottom
"D92","LL4148","D_MiniMELF",14.596457,-4.035000,90.000000,bottom
"D93","LL4148","D_MiniMELF",15.180000,-4.575000,180.000000,bottom
"D94","LL4148","D_MiniMELF",16.525591,-0.185000,0.000000,bottom
"D95","LL4148","D_MiniMELF",15.344488,-0.685039,90.000000,bottom
"D96","LL4148","D_MiniMELF",15.350000,-1.830000,90.000000,bottom
"D97","LL4148","D_MiniMELF",15.354331,-2.568898,90.000000,bottom
"D98","LL4148","D_MiniMELF",15.345965,-3.307087,90.000000,bottom
"D99","LL4148","D_MiniMELF",15.475000,-4.025000,90.000000,bottom
"D100","LL4148","D_MiniMELF",16.113681,-0.685039,90.000000,bottom
"D101","LL4148","D_MiniMELF",16.100886,-1.830709,90.000000,bottom
"D102","LL4148","D_MiniMELF",16.092520,-2.568898,90.000000,bottom
"D103","LL4148","D_MiniMELF",16.092520,-3.307087,90.000000,bottom
"D104","LL4148","D_MiniMELF",16.112205,-4.074803,90.000000,bottom
"D105","LL4148","D_MiniMELF",16.094488,-4.748031,0.000000,bottom
"D106","LL4148","D_MiniMELF",16.860236,-1.830709,90.000000,bottom
"D107","LL4148","D_MiniMELF",16.387795,-2.746063,0.000000,bottom
"D108","LL4148","D_MiniMELF",16.377953,-4.251969,0.000000,bottom
"F1","1210L150THWR","Fuse_1210_3225Metric",14.325000,-0.225000,0.000000,bottom
"FB1","BBUP00160808600Y00","Yageo-RC0603-0-0-IPC_C",14.090000,-0.435000,90.000000,bottom
"R1","RC0603FR-075K1L","Yageo-RC0603-0-0-IPC_C",13.875000,-0.345000,270.000000,bottom
"R3","RMCF0805FT510R","RESC2012X65N",13.900000,-1.595000,90.000000,bottom
"R4","RMCF0805FT510R","RESC2012X65N",13.985000,-1.595000,90.000000,bottom
"R5","RMCF0805FT510R","RESC2012X65N",13.875000,-1.790000,90.000000,bottom
"R6","RMCF0805FT510R","RESC2012X65N",13.960000,-1.790000,90.000000,bottom
"R7","RMCF0805FT510R","RESC2012X65N",14.045000,-1.790000,90.000000,bottom
"R8","RMCF0805FT510R","RESC2012X65N",13.710000,-0.675000,90.000000,bottom
"R9","RMCF0603FT1K00","RESC1508X55N",13.595000,-0.855000,90.000000,bottom
"R10","RMCF0603FT1K00","RESC1508X55N",13.595000,-0.735000,270.000000,bottom
"R15","RMCF0603FT100K","RESC1508X55N",1.060000,-0.935000,180.000000,bottom
"R16","RMCF0603FT100K","RESC1508X55N",1.150000,-0.985000,90.000000,bottom
"R17","RMCF2512FT59K0","RESC6332X70N",1.450000,-0.965000,270.000000,bottom
"R18","RMCF0603FT100K","RESC1508X55N",13.765000,-3.780000,0.000000,bottom
"R19","RMCF0603FT100K","RESC1508X55N",13.765000,-3.720000,180.000000,bottom
"R20","RMCF2512FT59K0","RESC6332X70N",13.765000,-3.420000,0.000000,bottom
"R21","MCT06030Z0000ZP500","RESC1508X55N",13.947500,-0.482000,270.000000,bottom
"R22","MCT06030Z0000ZP500","RESC1508X55N",14.006500,-0.482000,270.000000,bottom
"U1","AP2114HA-3.3TRG1","AP2114HA-3.3TRG1",14.876000,-0.872000,270.000000,bottom
"U3","STM32L433RBTx","LQFP-64_10x10mm_P0.5mm",13.975000,-0.990000,225.000000,bottom
"U4","M24512-DFMN6TP","STMicroelectronics-SO8N-SO-A-0-2-MFG",13.365000,-0.840000,0.000000,bottom
"U5","IS31FL3733B-QFLS4-TR","QFN-48_EP_6.6x6.6_Pitch0.4mm",1.210000,-0.745000,0.000000,bottom
"U6","IS31FL3733B-QFLS4-TR","QFN-48_EP_6.6x6.6_Pitch0.4mm",13.543386,-3.656000,90.000000,bottom
"Y1","ECS-480-10-33B-CKM-TR","XTAL_ECS-480-10-33B-CKM-TR",14.195000,-0.680000,180.000000,bottom
"C8","CL10B104KB8NNNL","Samsung-CL10-09_2006-0-IPC_C",13.970000,-0.680000,0.000000,top
"C9","CL10B103KB8NNNC","Samsung-0603_1608_Metric-0-0-0",16.880000,-0.845000,90.000000,top
"C10","CL10B103KB8NNNC","Samsung-0603_1608_Metric-0-0-0",16.950000,-0.845669,90.000000,top
"D109","19-337C_RSBHGHC-A88_4T","4T",0.571850,-0.168307,0.000000,top
"D110","19-337C_RSBHGHC-A88_4T","4T",0.571850,-1.293307,0.000000,top
"D111","19-337C_RSBHGHC-A88_4T","4T",0.759350,-2.043307,0.000000,top
"D112","19-337C_RSBHGHC-A88_4T","4T",0.853100,-2.793307,0.000000,top
"D113","19-337C_RSBHGHC-A88_4T","4T",2.071850,-0.168307,0.000000,top
